id,objectId,tagId,tag_datetime
1,1,1,2014-05-21 21:37:16 +0100
2,1,3,2014-05-21 21:37:16 +0100
3,2,2,2014-05-21 21:37:16 +0100
4,2,3,2014-05-21 21:37:16 +0100
5,3,1,2014-05-21 21:37:16 +0100
6,4,1,2014-05-21 21:37:16 +0100
7,5,1,2014-05-21 21:37:16 +0100
8,6,1,2014-05-21 21:37:16 +0100
9,7,1,2014-05-21 21:37:16 +0100
10,8,2,2014-05-21 21:37:16 +0100
11,9,2,2014-05-21 21:37:16 +0100
12,10,2,2014-05-21 21:37:16 +0100
13,11,2,2014-05-21 21:37:16 +0100
14,12,2,2014-05-21 21:37:16 +0100
15,13,3,2014-05-21 21:37:16 +0100
16,14,3,2014-05-21 21:37:16 +0100
17,15,3,2014-05-21 21:37:16 +0100
18,16,3,2014-05-21 21:37:16 +0100
19,17,3,2014-05-21 21:37:16 +0100
20,18,3,2014-05-21 21:37:16 +0100
21,19,3,2014-05-21 21:37:16 +0100
22,20,3,2014-05-21 21:37:16 +0100
23,21,3,2014-05-21 21:37:16 +0100
24,22,3,2014-05-21 21:37:16 +0100